syndrome_key_uint24,size,members
131074,2,A:data3:Z;A:data6:Z
262148,2,A:data2:Z;A:data5:Z
1048592,2,A:data7:X;A:data8:X
8388736,2,A:data0:X;A:data1:X
65537,1,A:data8:Z
196611,1,A:data7:Z
393222,1,A:data4:Z
524296,1,A:data0:Z
786444,1,A:data1:Z
1114129,1,A:data8:Y
1245203,1,A:data7:Y
2097184,1,A:data6:X
2228258,1,A:data6:Y
4194368,1,A:data2:X
4456516,1,A:data2:Y
5242960,1,A:data5:X
5505108,1,A:data5:Y
8913032,1,A:data0:Y
9175180,1,A:data1:Y
9437328,1,A:data4:X
9830550,1,A:data4:Y
10485920,1,A:data3:X
10616994,1,A:data3:Y
