syndrome_key_uint24,size,members
131586,2,A:data3:Z;A:data6:Z
263172,2,A:data2:Z;A:data5:Z
1052688,2,A:data7:X;A:data8:X
8421504,2,A:data0:X;A:data1:X
65793,1,A:data8:Z
197379,1,A:data7:Z
394758,1,A:data4:Z
526344,1,A:data0:Z
789516,1,A:data1:Z
1118481,1,A:data8:Y
1250067,1,A:data7:Y
2105376,1,A:data6:X
2236962,1,A:data6:Y
4210752,1,A:data2:X
4473924,1,A:data2:Y
5263440,1,A:data5:X
5526612,1,A:data5:Y
8947848,1,A:data0:Y
9211020,1,A:data1:Y
9474192,1,A:data4:X
9868950,1,A:data4:Y
10526880,1,A:data3:X
10658466,1,A:data3:Y
