mode,cnot_id,multiset
reset,0,0:3;8:4;128:4;136:4
reset,1,0:1;4:2;8:2;12:2;128:2;132:2;136:2;140:2
reset,2,2:1;4:1;6:1;32:1;34:1;36:1;38:1;128:1;130:1;132:1;134:1;160:1;162:1;164:1;166:1
reset,3,0:1;6:2;16:2;22:2;128:2;134:2;144:2;150:2
reset,4,0:3;4:4;64:4;68:4
reset,5,0:1;4:2;16:2;20:2;64:2;68:2;80:2;84:2
reset,6,0:3;2:4;32:4;34:4
reset,7,0:3;2:4;32:4;34:4
reset,8,0:3;6:4;16:4;22:4
reset,9,0:1;2:2;4:2;6:2;16:2;18:2;20:2;22:2
reset,10,0:1;1:2;2:2;3:2;16:2;17:2;18:2;19:2
reset,11,0:3;1:4;16:4;17:4
reset,12,0:7;8:8
reset,13,0:3;4:4;8:4;12:4
reset,14,0:7;4:8
reset,15,0:7;4:8
reset,16,0:3;2:4;4:4;6:4
reset,17,0:7;4:8
reset,18,0:7;2:8
reset,19,0:7;2:8
reset,20,0:7;2:8
reset,21,0:3;1:4;2:4;3:4
reset,22,0:7;1:8
reset,23,0:7;1:8
noreset,0,0:3;8:4;128:4;136:4
noreset,1,0:1;4:2;8:2;12:2;128:2;132:2;136:2;140:2
noreset,2,2:1;4:1;6:1;32:1;34:1;36:1;38:1;128:1;130:1;132:1;134:1;160:1;162:1;164:1;166:1
noreset,3,0:1;6:2;16:2;22:2;128:2;134:2;144:2;150:2
noreset,4,0:3;4:4;64:4;68:4
noreset,5,0:1;4:2;16:2;20:2;64:2;68:2;80:2;84:2
noreset,6,0:3;2:4;32:4;34:4
noreset,7,0:3;2:4;32:4;34:4
noreset,8,0:3;6:4;16:4;22:4
noreset,9,0:1;2:2;4:2;6:2;16:2;18:2;20:2;22:2
noreset,10,0:1;1:2;2:2;3:2;16:2;17:2;18:2;19:2
noreset,11,0:3;1:4;16:4;17:4
noreset,12,0:7;8:8
noreset,13,0:3;4:4;8:4;12:4
noreset,14,0:7;4:8
noreset,15,0:7;4:8
noreset,16,0:3;2:4;4:4;6:4
noreset,17,0:7;4:8
noreset,18,0:7;2:8
noreset,19,0:7;2:8
noreset,20,0:7;2:8
noreset,21,0:3;1:4;2:4;3:4
noreset,22,0:7;1:8
noreset,23,0:7;1:8
