T,group,cnot_i,cnot_j,overlap
1,G1,6,7,1.0000
1,G2,14,15,1.0000
1,G2,14,17,1.0000
1,G2,15,17,1.0000
1,G3,18,19,1.0000
1,G3,18,20,1.0000
1,G3,19,20,1.0000
1,G4,22,23,1.0000
2,G1,6,7,0.4667
2,G2,14,15,0.2000
2,G2,14,17,0.2000
2,G2,15,17,0.2000
2,G3,18,19,0.2000
2,G3,18,20,0.2000
2,G3,19,20,0.2000
2,G4,22,23,0.4667
3,G1,6,7,0.4667
3,G2,14,15,0.2000
3,G2,14,17,0.2000
3,G2,15,17,0.2000
3,G3,18,19,0.2000
3,G3,18,20,0.2000
3,G3,19,20,0.2000
3,G4,22,23,0.4667
4,G1,6,7,0.4667
4,G2,14,15,0.2000
4,G2,14,17,0.2000
4,G2,15,17,0.2000
4,G3,18,19,0.2000
4,G3,18,20,0.2000
4,G3,19,20,0.2000
4,G4,22,23,0.4667
5,G1,6,7,0.4667
5,G2,14,15,0.2000
5,G2,14,17,0.2000
5,G2,15,17,0.2000
5,G3,18,19,0.2000
5,G3,18,20,0.2000
5,G3,19,20,0.2000
5,G4,22,23,0.4667
