cnot_idx,stab_type,stab_index,control,target,syndrome_bits,group_id,group_size
0,Z,0,0,9,00001000,6,1
1,Z,0,1,9,00000100,2,3
2,Z,0,3,9,00100110,7,1
3,Z,0,4,9,00010000,4,2
4,Z,1,2,10,00000100,2,3
5,Z,1,5,10,00010000,4,2
6,Z,2,3,11,00000010,1,3
7,Z,2,6,11,00000000,0,11
8,Z,3,4,12,00000110,5,1
9,Z,3,5,12,00000010,1,3
10,Z,3,7,12,00000001,3,2
11,Z,3,8,12,00000000,0,11
12,X,0,13,0,00000000,0,11
13,X,0,13,1,00000100,2,3
14,X,1,14,1,00000000,0,11
15,X,1,14,2,00000000,0,11
16,X,1,14,4,00000010,1,3
17,X,1,14,5,00000000,0,11
18,X,2,15,3,00000000,0,11
19,X,2,15,4,00000000,0,11
20,X,2,15,6,00000000,0,11
21,X,2,15,7,00000001,3,2
22,X,3,16,7,00000000,0,11
23,X,3,16,8,00000000,0,11
