cnot_idx,stab_type,stab_index,control,target,syndrome_bits,group_id,group_size
0,Z,0,0,9,0000100010001000,20,1
1,Z,0,1,9,0000010010000100,18,1
2,Z,0,3,9,0010011010100110,23,1
3,Z,0,4,9,0001000010010000,22,1
4,Z,1,2,10,0000010001000100,17,1
5,Z,1,5,10,0001000001010000,21,1
6,Z,2,3,11,0000001010100010,15,1
7,Z,2,6,11,0000000000100000,5,1
8,Z,3,4,12,0000011010010110,19,1
9,Z,3,5,12,0000001001010010,13,1
10,Z,3,7,12,0000000100010001,12,1
11,Z,3,8,12,0000000000010000,2,1
12,X,0,13,0,0000000010001000,7,1
13,X,0,13,1,0000010000001100,16,1
14,X,1,14,1,0000000010001100,8,1
15,X,1,14,2,0000000011000100,10,1
16,X,1,14,4,0000001001010110,14,1
17,X,1,14,5,0000000000000100,1,1
18,X,2,15,3,0000000010100010,9,1
19,X,2,15,4,0000000000110110,6,1
20,X,2,15,6,0000000000010010,3,1
21,X,2,15,7,0000000100000011,11,1
22,X,3,16,7,0000000000010011,4,1
23,X,3,16,8,0000000000000001,0,1
