global_id,conflict_size,pauli,cnot_idx,stab_type,stab_index,control,target,syndrome_bits
0,8,XX,12,X,0,13,0,0000000000000000
0,8,XX,14,X,1,14,1,0000000000000000
0,8,XX,18,X,2,15,3,0000000000000000
0,8,XX,22,X,3,16,7,0000000000000000
0,8,ZZ,0,Z,0,0,9,0000000000000000
0,8,ZZ,4,Z,1,2,10,0000000000000000
0,8,ZZ,6,Z,2,3,11,0000000000000000
0,8,ZZ,8,Z,3,4,12,0000000000000000
1,4,YY,18,X,2,15,3,0000001000000000
1,4,ZZ,7,Z,2,6,11,0000001000000000
1,4,ZZ,10,Z,3,7,12,0000001000000000
1,4,ZZ,18,X,2,15,3,0000001000000000
1,4,ZZ,20,X,2,15,6,0000001000000000
2,4,YZ,17,X,1,14,5,0000010000000000
2,4,ZZ,2,Z,0,3,9,0000010000000000
2,4,ZZ,5,Z,1,5,10,0000010000000000
2,4,ZZ,15,X,1,14,2,0000010000000000
2,4,ZZ,17,X,1,14,5,0000010000000000
3,3,XX,21,X,2,15,7,0000000000010000
3,3,XX,23,X,3,16,8,0000000000010000
3,3,XZ,11,Z,3,8,12,0000000000010000
4,3,XX,13,X,0,13,1,0000000010000000
4,3,XX,15,X,1,14,2,0000000010000000
4,3,YZ,0,Z,0,0,9,0000000010000000
5,3,XZ,10,Z,3,7,12,0000000100010000
5,3,YY,23,X,3,16,8,0000000100010000
5,3,YZ,11,Z,3,8,12,0000000100010000
5,3,ZY,23,X,3,16,8,0000000100010000
6,3,ZZ,3,Z,0,4,9,0000011000000000
6,3,ZZ,9,Z,3,5,12,0000011000000000
6,3,ZZ,16,X,1,14,4,0000011000000000
7,3,XZ,0,Z,0,0,9,0000100010000000
7,3,YZ,1,Z,0,1,9,0000100010000000
7,3,YZ,12,X,0,13,0,0000100010000000
7,3,ZY,12,X,0,13,0,0000100010000000
8,2,XX,19,X,2,15,4,0000000010100000
8,2,YZ,6,Z,2,3,11,0000000010100000
9,2,YZ,23,X,3,16,8,0000000100000000
9,2,ZZ,11,Z,3,8,12,0000000100000000
9,2,ZZ,23,X,3,16,8,0000000100000000
10,2,XZ,21,X,2,15,7,0000000100000010
10,2,YY,22,X,3,16,7,0000000100000010
10,2,ZZ,22,X,3,16,7,0000000100000010
11,2,YX,23,X,3,16,8,0000000100010001
11,2,ZX,22,X,3,16,7,0000000100010001
11,2,ZX,23,X,3,16,8,0000000100010001
12,2,XY,21,X,2,15,7,0000000100010010
12,2,YZ,22,X,3,16,7,0000000100010010
12,2,ZY,22,X,3,16,7,0000000100010010
13,2,YZ,10,Z,3,7,12,0000001000010000
13,2,YZ,20,X,2,15,6,0000001000010000
14,2,YZ,7,Z,2,6,11,0000001000100000
14,2,ZY,20,X,2,15,6,0000001000100000
15,2,XZ,6,Z,2,3,11,0000001010100000
15,2,YZ,18,X,2,15,3,0000001010100000
15,2,ZY,18,X,2,15,3,0000001010100000
16,2,YX,19,X,2,15,4,0000001010100010
16,2,ZX,18,X,2,15,3,0000001010100010
