category,syndrome,cnot_a,pauli_a,label_a,cnot_b,pauli_b,label_b
diff_cnot_diff_pauli,10000000000000001000000000000000,1,XX,CNOT01 Z0 1->9,0,YY,CNOT00 Z0 0->9
diff_cnot_diff_pauli,00010000100000000001000010000000,8,XX,CNOT08 Z3 4->12,3,XZ,CNOT03 Z0 4->9
diff_cnot_diff_pauli,00010000100000000001000010000000,3,XZ,CNOT03 Z0 4->9,8,YY,CNOT08 Z3 4->12
diff_cnot_diff_pauli,00010000010000000001000001000000,9,XX,CNOT09 Z3 5->12,5,XZ,CNOT05 Z1 5->10
diff_cnot_diff_pauli,00010000000000000001000000000000,10,XX,CNOT10 Z3 7->12,11,XY,CNOT11 Z3 8->12
diff_cnot_diff_pauli,00000000000000000000000000000000,12,XX,CNOT12 X0 13->0,0,ZZ,CNOT00 Z0 0->9
diff_cnot_diff_pauli,00000000000000000000000000000000,12,XX,CNOT12 X0 13->0,4,ZZ,CNOT04 Z1 2->10
diff_cnot_diff_pauli,00000000000000000000000000000000,12,XX,CNOT12 X0 13->0,6,ZZ,CNOT06 Z2 3->11
diff_cnot_diff_pauli,00000000000000000000000000000000,12,XX,CNOT12 X0 13->0,8,ZZ,CNOT08 Z3 4->12
diff_cnot_diff_pauli,00000000000000000000000000000000,14,XX,CNOT14 X1 14->1,0,ZZ,CNOT00 Z0 0->9
diff_cnot_diff_pauli,00000000000000000000000000000000,14,XX,CNOT14 X1 14->1,4,ZZ,CNOT04 Z1 2->10
diff_cnot_diff_pauli,00000000000000000000000000000000,14,XX,CNOT14 X1 14->1,6,ZZ,CNOT06 Z2 3->11
diff_cnot_diff_pauli,00000000000000000000000000000000,14,XX,CNOT14 X1 14->1,8,ZZ,CNOT08 Z3 4->12
diff_cnot_diff_pauli,00000000000000000000000000000000,18,XX,CNOT18 X2 15->3,0,ZZ,CNOT00 Z0 0->9
diff_cnot_diff_pauli,00000000000000000000000000000000,18,XX,CNOT18 X2 15->3,4,ZZ,CNOT04 Z1 2->10
diff_cnot_diff_pauli,00000000000000000000000000000000,18,XX,CNOT18 X2 15->3,6,ZZ,CNOT06 Z2 3->11
diff_cnot_diff_pauli,00000000000000000000000000000000,18,XX,CNOT18 X2 15->3,8,ZZ,CNOT08 Z3 4->12
diff_cnot_diff_pauli,00000000000000000000000000000000,22,XX,CNOT22 X3 16->7,0,ZZ,CNOT00 Z0 0->9
diff_cnot_diff_pauli,00000000000000000000000000000000,22,XX,CNOT22 X3 16->7,4,ZZ,CNOT04 Z1 2->10
diff_cnot_diff_pauli,00000000000000000000000000000000,22,XX,CNOT22 X3 16->7,6,ZZ,CNOT06 Z2 3->11
diff_cnot_diff_pauli,00000000000000000000000000000000,22,XX,CNOT22 X3 16->7,8,ZZ,CNOT08 Z3 4->12
diff_cnot_diff_pauli,00000000100000000000000010000000,13,XX,CNOT13 X0 13->1,0,YZ,CNOT00 Z0 0->9
diff_cnot_diff_pauli,00000000100000000000000010000000,15,XX,CNOT15 X1 14->2,0,YZ,CNOT00 Z0 0->9
diff_cnot_diff_pauli,00000000101000000000000010100000,19,XX,CNOT19 X2 15->4,6,YZ,CNOT06 Z2 3->11
diff_cnot_diff_pauli,00000000000100000000000000010000,21,XX,CNOT21 X2 15->7,11,XZ,CNOT11 Z3 8->12
diff_cnot_diff_pauli,00000000000100000000000000010000,23,XX,CNOT23 X3 16->8,11,XZ,CNOT11 Z3 8->12
diff_cnot_diff_pauli,10001000000000001000100000000000,0,XY,CNOT00 Z0 0->9,1,YY,CNOT01 Z0 1->9
diff_cnot_diff_pauli,10001000000000001000100000000000,0,YX,CNOT00 Z0 0->9,1,YY,CNOT01 Z0 1->9
diff_cnot_diff_pauli,00010110100000000001011010000000,8,XY,CNOT08 Z3 4->12,3,YZ,CNOT03 Z0 4->9
diff_cnot_diff_pauli,00010110100000000001011010000000,8,YX,CNOT08 Z3 4->12,3,YZ,CNOT03 Z0 4->9
diff_cnot_diff_pauli,00010001000000000001000100000000,10,XY,CNOT10 Z3 7->12,11,YX,CNOT11 Z3 8->12
diff_cnot_diff_pauli,00010001000000000001000100000000,10,XY,CNOT10 Z3 7->12,11,YY,CNOT11 Z3 8->12
diff_cnot_diff_pauli,00000100100010000000010010001000,13,XY,CNOT13 X0 13->1,14,YZ,CNOT14 X1 14->1
diff_cnot_diff_pauli,00000100100010000000010010001000,13,XY,CNOT13 X0 13->1,14,ZY,CNOT14 X1 14->1
diff_cnot_diff_pauli,00000001000100100000000100010010,21,XY,CNOT21 X2 15->7,22,YZ,CNOT22 X3 16->7
diff_cnot_diff_pauli,00000001000100100000000100010010,21,XY,CNOT21 X2 15->7,22,ZY,CNOT22 X3 16->7
diff_cnot_diff_pauli,00001000100000000000100010000000,0,XZ,CNOT00 Z0 0->9,1,YZ,CNOT01 Z0 1->9
diff_cnot_diff_pauli,00001000100000000000100010000000,0,XZ,CNOT00 Z0 0->9,12,YZ,CNOT12 X0 13->0
diff_cnot_diff_pauli,00001000100000000000100010000000,0,XZ,CNOT00 Z0 0->9,12,ZY,CNOT12 X0 13->0
diff_cnot_diff_pauli,00001000100000000000100010000000,1,YZ,CNOT01 Z0 1->9,12,ZY,CNOT12 X0 13->0
diff_cnot_diff_pauli,00000100100000000000010010000000,1,XZ,CNOT01 Z0 1->9,15,YY,CNOT15 X1 14->2
diff_cnot_diff_pauli,00000100010000000000010001000000,4,XZ,CNOT04 Z1 2->10,15,ZY,CNOT15 X1 14->2
diff_cnot_diff_pauli,00000010101000000000001010100000,6,XZ,CNOT06 Z2 3->11,18,YZ,CNOT18 X2 15->3
diff_cnot_diff_pauli,00000010101000000000001010100000,6,XZ,CNOT06 Z2 3->11,18,ZY,CNOT18 X2 15->3
diff_cnot_diff_pauli,00000110100100000000011010010000,8,XZ,CNOT08 Z3 4->12,16,ZY,CNOT16 X1 14->4
diff_cnot_diff_pauli,00000001000100000000000100010000,10,XZ,CNOT10 Z3 7->12,23,YY,CNOT23 X3 16->8
diff_cnot_diff_pauli,00000001000100000000000100010000,10,XZ,CNOT10 Z3 7->12,11,YZ,CNOT11 Z3 8->12
diff_cnot_diff_pauli,00000001000100000000000100010000,10,XZ,CNOT10 Z3 7->12,23,ZY,CNOT23 X3 16->8
diff_cnot_diff_pauli,00000001000100000000000100010000,23,YY,CNOT23 X3 16->8,11,YZ,CNOT11 Z3 8->12
diff_cnot_diff_pauli,00000001000100000000000100010000,11,YZ,CNOT11 Z3 8->12,23,ZY,CNOT23 X3 16->8
