p_bg,p_high,T,acc_15p,acc_9p
0.001,0.01,10,0.06333333333333334,0.07194444444444445
0.001,0.01,30,0.10166666666666667,0.13083333333333333
0.001,0.01,100,0.18222222222222223,0.23472222222222222
0.001,0.01,300,0.325,0.4001388888888889
0.001,0.01,1000,0.5768055555555556,0.6644444444444444
0.001,0.03,10,0.11875,0.13708333333333333
0.001,0.03,30,0.22180555555555556,0.28402777777777777
0.001,0.03,100,0.43694444444444447,0.5245833333333333
0.001,0.03,300,0.6651388888888888,0.7193055555555555
0.001,0.03,1000,0.7484722222222222,0.7747222222222222
0.01,0.1,10,0.1823611111111111,0.22194444444444444
0.01,0.1,30,0.3115277777777778,0.38319444444444445
0.01,0.1,100,0.5530555555555555,0.6388888888888888
0.01,0.1,300,0.7252777777777778,0.7640277777777778
0.01,0.1,1000,0.7497222222222222,0.7833333333333333
0.01,0.3,10,0.4325,0.5047222222222222
0.01,0.3,30,0.6551388888888889,0.7101388888888889
0.01,0.3,100,0.7472222222222222,0.7713888888888889
0.01,0.3,300,0.7490277777777777,0.7840277777777778
0.01,0.3,1000,0.7505555555555555,0.7913888888888889
