p_bg,p_high,ratio,T,accuracy,per_class_min,per_class_max,per_class_mean
0.001,0.01,10.0,10,0.06416666666666666,0.0,0.8533333333333334,0.06416666666666666
0.001,0.01,10.0,50,0.12361111111111112,0.0,0.36333333333333334,0.12361111111111112
0.001,0.01,10.0,100,0.17888888888888888,0.0,0.3466666666666667,0.17888888888888888
0.001,0.03,30.0,10,0.11041666666666666,0.0,0.8833333333333333,0.11041666666666666
0.001,0.03,30.0,50,0.2970833333333333,0.0,0.5533333333333333,0.29708333333333337
0.001,0.03,30.0,100,0.44680555555555557,0.0,0.7166666666666667,0.4468055555555555
0.01,0.1,10.0,10,0.1775,0.0,0.3333333333333333,0.1775
0.01,0.1,10.0,50,0.40291666666666665,0.0,0.7133333333333334,0.40291666666666665
0.01,0.1,10.0,100,0.5527777777777778,0.0,0.89,0.5527777777777778
0.01,0.3,30.0,10,0.4220833333333333,0.0,0.71,0.42208333333333337
0.01,0.3,30.0,50,0.7194444444444444,0.0,0.9966666666666667,0.7194444444444444
0.01,0.3,30.0,100,0.7459722222222223,0.0,1.0,0.7459722222222221
