cell,group,mean_pair_js,max_pair_js,n_pairs
r3b_marginals_pbg0.01_phigh0.1_T10.npz,6_7,0.035598559057228134,0.035598559057228134,1
r3b_marginals_pbg0.01_phigh0.1_T10.npz,14_15_17,0.049082785913628336,0.05813757777754225,3
r3b_marginals_pbg0.01_phigh0.1_T10.npz,18_19_20,0.052246581666695636,0.058719642484885995,3
r3b_marginals_pbg0.01_phigh0.1_T10.npz,22_23,0.035269287993512206,0.035269287993512206,1
r3b_marginals_pbg0.01_phigh0.1_T30.npz,6_7,0.061568596369445915,0.061568596369445915,1
r3b_marginals_pbg0.01_phigh0.1_T30.npz,14_15_17,0.06618047148194822,0.07079695921544213,3
r3b_marginals_pbg0.01_phigh0.1_T30.npz,18_19_20,0.07114540555776018,0.0781637446511837,3
r3b_marginals_pbg0.01_phigh0.1_T30.npz,22_23,0.08574815080156505,0.08574815080156505,1
r3b_marginals_pbg0.01_phigh0.1_T50.npz,6_7,0.06543500457107225,0.06543500457107225,1
r3b_marginals_pbg0.01_phigh0.1_T50.npz,14_15_17,0.06215413392693353,0.06786082895236181,3
r3b_marginals_pbg0.01_phigh0.1_T50.npz,18_19_20,0.06677674819057737,0.07544252537946451,3
r3b_marginals_pbg0.01_phigh0.1_T50.npz,22_23,0.06558352904541301,0.06558352904541301,1
