cell,group,r1_mean,r1_std,r3b_mean,r3b_std
r3b_marginals_pbg0.01_phigh0.1_T10.npz,6_7,0.15075,0.10625,0.16,0.06
r3b_marginals_pbg0.01_phigh0.1_T10.npz,14_15_17,0.063,0.04609410663703839,0.12666666666666668,0.08379870059984355
r3b_marginals_pbg0.01_phigh0.1_T10.npz,18_19_20,0.10166666666666667,0.139557236366382,0.06666666666666667,0.05249338582674541
r3b_marginals_pbg0.01_phigh0.1_T10.npz,22_23,0.1105,0.11,0.09000000000000001,0.05
r3b_marginals_pbg0.01_phigh0.1_T30.npz,6_7,0.2495,0.07550000000000001,0.15000000000000002,0.05
r3b_marginals_pbg0.01_phigh0.1_T30.npz,14_15_17,0.09999999999999999,0.10081005240880825,0.11333333333333333,0.07717224601860151
r3b_marginals_pbg0.01_phigh0.1_T30.npz,18_19_20,0.09766666666666667,0.13283092846003733,0.05333333333333334,0.0339934634239519
r3b_marginals_pbg0.01_phigh0.1_T30.npz,22_23,0.195,0.193,0.05,0.030000000000000002
r3b_marginals_pbg0.01_phigh0.1_T50.npz,6_7,0.3215,0.0025000000000000022,0.04,0.02
r3b_marginals_pbg0.01_phigh0.1_T50.npz,14_15_17,0.13949999999999999,0.1348004698310309,0.16666666666666666,0.049888765156985884
r3b_marginals_pbg0.01_phigh0.1_T50.npz,18_19_20,0.1381666666666667,0.1797017590960707,0.06666666666666667,0.024944382578492942
r3b_marginals_pbg0.01_phigh0.1_T50.npz,22_23,0.2655,0.2625,0.05,0.009999999999999998
