scenario,k,n_samples,T,mean_total_events,std_total_events,mean_per_round
r1,0,2000,1000,3962.982,194.816,3.96298
r1,1,2000,1000,3963.306,194.284,3.96331
r1,2,2000,1000,3962.347,190.666,3.96235
r1,3,2000,1000,3968.802,196.540,3.96880
r1,4,2000,1000,3952.537,194.806,3.95254
r1,5,2000,1000,3966.622,195.113,3.96662
r1,6,2000,1000,3961.849,197.989,3.96185
r1,7,2000,1000,3960.091,200.557,3.96009
r1,8,2000,1000,3956.102,201.395,3.95610
r1,9,2000,1000,3962.184,188.773,3.96218
r1,10,2000,1000,3966.588,192.795,3.96659
r1,11,2000,1000,3956.905,197.732,3.95690
r1,12,2000,1000,3958.722,196.046,3.95872
r1,13,2000,1000,3961.763,192.308,3.96176
r1,14,2000,1000,3953.523,194.552,3.95352
r1,15,2000,1000,3953.716,194.374,3.95372
r1,16,2000,1000,3961.698,191.081,3.96170
r1,17,2000,1000,3963.249,198.794,3.96325
r1,18,2000,1000,3965.588,205.027,3.96559
r1,19,2000,1000,3962.640,194.908,3.96264
r1,20,2000,1000,3967.528,194.419,3.96753
r1,21,2000,1000,3965.396,188.674,3.96540
r1,22,2000,1000,3959.405,190.893,3.95940
r1,23,2000,1000,3956.613,199.729,3.95661
r2,0,2000,1000,2943.539,378.467,2.94354
r2,1,2000,1000,2986.055,373.670,2.98606
r2,2,2000,1000,3062.670,357.526,3.06267
r2,3,2000,1000,2914.418,404.091,2.91442
r2,4,2000,1000,2910.620,398.013,2.91062
r2,5,2000,1000,2903.609,393.074,2.90361
r2,6,2000,1000,2911.776,393.831,2.91178
r2,7,2000,1000,2886.427,392.337,2.88643
r2,8,2000,1000,2906.388,394.357,2.90639
r2,9,2000,1000,2978.753,371.896,2.97875
r2,10,2000,1000,2977.105,377.468,2.97710
r2,11,2000,1000,2937.425,398.294,2.93743
r2,12,2000,1000,2943.320,387.065,2.94332
r2,13,2000,1000,2944.933,380.102,2.94493
r2,14,2000,1000,2997.619,376.608,2.99762
r2,15,2000,1000,3080.928,355.592,3.08093
r2,16,2000,1000,3126.863,341.777,3.12686
r2,17,2000,1000,2918.834,402.769,2.91883
r2,18,2000,1000,2910.177,393.640,2.91018
r2,19,2000,1000,3188.319,324.298,3.18832
r2,20,2000,1000,3075.153,372.884,3.07515
r2,21,2000,1000,3040.947,355.771,3.04095
r2,22,2000,1000,3011.285,360.695,3.01128
r2,23,2000,1000,2963.508,391.773,2.96351
r3b,0,2000,1000,3138.382,342.720,3.13838
r3b,1,2000,1000,3173.157,321.919,3.17316
r3b,2,2000,1000,3197.686,335.335,3.19769
r3b,3,2000,1000,3102.367,367.496,3.10237
r3b,4,2000,1000,3179.867,322.048,3.17987
r3b,5,2000,1000,3161.345,334.547,3.16135
r3b,6,2000,1000,3172.572,338.518,3.17257
r3b,7,2000,1000,3224.503,329.061,3.22450
r3b,8,2000,1000,3127.302,358.037,3.12730
r3b,9,2000,1000,3201.789,310.107,3.20179
r3b,10,2000,1000,3257.437,308.109,3.25744
r3b,11,2000,1000,3216.524,323.748,3.21652
r3b,12,2000,1000,3156.129,331.270,3.15613
r3b,13,2000,1000,3185.811,329.095,3.18581
r3b,14,2000,1000,3223.218,332.653,3.22322
r3b,15,2000,1000,3206.086,321.849,3.20609
r3b,16,2000,1000,3244.492,310.481,3.24449
r3b,17,2000,1000,3183.014,331.448,3.18301
r3b,18,2000,1000,3208.531,340.755,3.20853
r3b,19,2000,1000,3338.920,301.008,3.33892
r3b,20,2000,1000,3312.015,304.549,3.31201
r3b,21,2000,1000,3286.972,312.949,3.28697
r3b,22,2000,1000,3258.160,302.724,3.25816
r3b,23,2000,1000,3213.399,321.171,3.21340
