error,mode,syndrome_r0,syndrome_r1,syndrome_r2
A:data0:X,reset,10000000,10000000,10000000
A:data0:X,noreset,10000000,00000000,10000000
A:data0:Y,reset,10001000,10001000,10001000
A:data0:Y,noreset,10001000,00000000,10001000
A:data0:Z,reset,00001000,00001000,00001000
A:data0:Z,noreset,00001000,00000000,00001000
A:data1:X,reset,10000000,10000000,10000000
A:data1:X,noreset,10000000,00000000,10000000
A:data1:Y,reset,10001100,10001100,10001100
A:data1:Y,noreset,10001100,00000000,10001100
A:data1:Z,reset,00001100,00001100,00001100
A:data1:Z,noreset,00001100,00000000,00001100
A:data2:X,reset,01000000,01000000,01000000
A:data2:X,noreset,01000000,00000000,01000000
A:data2:Y,reset,01000100,01000100,01000100
A:data2:Y,noreset,01000100,00000000,01000100
A:data2:Z,reset,00000100,00000100,00000100
A:data2:Z,noreset,00000100,00000000,00000100
A:data3:X,reset,10100000,10100000,10100000
A:data3:X,noreset,10100000,00000000,10100000
A:data3:Y,reset,10100010,10100010,10100010
A:data3:Y,noreset,10100010,00000000,10100010
A:data3:Z,reset,00000010,00000010,00000010
A:data3:Z,noreset,00000010,00000000,00000010
A:data4:X,reset,10010000,10010000,10010000
A:data4:X,noreset,10010000,00000000,10010000
A:data4:Y,reset,10010110,10010110,10010110
A:data4:Y,noreset,10010110,00000000,10010110
A:data4:Z,reset,00000110,00000110,00000110
A:data4:Z,noreset,00000110,00000000,00000110
A:data5:X,reset,01010000,01010000,01010000
A:data5:X,noreset,01010000,00000000,01010000
A:data5:Y,reset,01010100,01010100,01010100
A:data5:Y,noreset,01010100,00000000,01010100
A:data5:Z,reset,00000100,00000100,00000100
A:data5:Z,noreset,00000100,00000000,00000100
A:data6:X,reset,00100000,00100000,00100000
A:data6:X,noreset,00100000,00000000,00100000
A:data6:Y,reset,00100010,00100010,00100010
A:data6:Y,noreset,00100010,00000000,00100010
A:data6:Z,reset,00000010,00000010,00000010
A:data6:Z,noreset,00000010,00000000,00000010
A:data7:X,reset,00010000,00010000,00010000
A:data7:X,noreset,00010000,00000000,00010000
A:data7:Y,reset,00010011,00010011,00010011
A:data7:Y,noreset,00010011,00000000,00010011
A:data7:Z,reset,00000011,00000011,00000011
A:data7:Z,noreset,00000011,00000000,00000011
A:data8:X,reset,00010000,00010000,00010000
A:data8:X,noreset,00010000,00000000,00010000
A:data8:Y,reset,00010001,00010001,00010001
A:data8:Y,noreset,00010001,00000000,00010001
A:data8:Z,reset,00000001,00000001,00000001
A:data8:Z,noreset,00000001,00000000,00000001
C:cnot00:IX,reset,10000000,00000000,00000000
C:cnot00:IX,noreset,10000000,10000000,10000000
C:cnot00:IY,reset,10001000,00001000,00001000
C:cnot00:IY,noreset,10001000,10000000,10001000
C:cnot00:IZ,reset,00001000,00001000,00001000
C:cnot00:IZ,noreset,00001000,00000000,00001000
C:cnot00:XI,reset,00000000,10000000,10000000
C:cnot00:XI,noreset,00000000,10000000,00000000
C:cnot00:XX,reset,10000000,10000000,10000000
C:cnot00:XX,noreset,10000000,00000000,10000000
C:cnot00:XY,reset,10001000,10001000,10001000
C:cnot00:XY,noreset,10001000,00000000,10001000
C:cnot00:XZ,reset,00001000,10001000,10001000
C:cnot00:XZ,noreset,00001000,10000000,00001000
C:cnot00:YI,reset,00001000,10001000,10001000
C:cnot00:YI,noreset,00001000,10000000,00001000
C:cnot00:YX,reset,10001000,10001000,10001000
C:cnot00:YX,noreset,10001000,00000000,10001000
C:cnot00:YY,reset,10000000,10000000,10000000
C:cnot00:YY,noreset,10000000,00000000,10000000
C:cnot00:YZ,reset,00000000,10000000,10000000
C:cnot00:YZ,noreset,00000000,10000000,00000000
C:cnot00:ZI,reset,00001000,00001000,00001000
C:cnot00:ZI,noreset,00001000,00000000,00001000
C:cnot00:ZX,reset,10001000,00001000,00001000
C:cnot00:ZX,noreset,10001000,10000000,10001000
C:cnot00:ZY,reset,10000000,00000000,00000000
C:cnot00:ZY,noreset,10000000,10000000,10000000
C:cnot00:ZZ,reset,00000000,00000000,00000000
C:cnot00:ZZ,noreset,00000000,00000000,00000000
C:cnot01:IX,reset,10000000,00000000,00000000
C:cnot01:IX,noreset,10000000,10000000,10000000
C:cnot01:IY,reset,10000100,00000100,00000100
C:cnot01:IY,noreset,10000100,10000000,10000100
C:cnot01:IZ,reset,00000100,00000100,00000100
C:cnot01:IZ,noreset,00000100,00000000,00000100
C:cnot01:XI,reset,00000000,10000000,10000000
C:cnot01:XI,noreset,00000000,10000000,00000000
C:cnot01:XX,reset,10000000,10000000,10000000
C:cnot01:XX,noreset,10000000,00000000,10000000
C:cnot01:XY,reset,10000100,10000100,10000100
C:cnot01:XY,noreset,10000100,00000000,10000100
C:cnot01:XZ,reset,00000100,10000100,10000100
C:cnot01:XZ,noreset,00000100,10000000,00000100
C:cnot01:YI,reset,00001100,10001100,10001100
C:cnot01:YI,noreset,00001100,10000000,00001100
C:cnot01:YX,reset,10001100,10001100,10001100
C:cnot01:YX,noreset,10001100,00000000,10001100
C:cnot01:YY,reset,10001000,10001000,10001000
C:cnot01:YY,noreset,10001000,00000000,10001000
C:cnot01:YZ,reset,00001000,10001000,10001000
C:cnot01:YZ,noreset,00001000,10000000,00001000
C:cnot01:ZI,reset,00001100,00001100,00001100
C:cnot01:ZI,noreset,00001100,00000000,00001100
C:cnot01:ZX,reset,10001100,00001100,00001100
C:cnot01:ZX,noreset,10001100,10000000,10001100
C:cnot01:ZY,reset,10001000,00001000,00001000
C:cnot01:ZY,noreset,10001000,10000000,10001000
C:cnot01:ZZ,reset,00001000,00001000,00001000
C:cnot01:ZZ,noreset,00001000,00000000,00001000
C:cnot02:IX,reset,10000000,00000000,00000000
C:cnot02:IX,noreset,10000000,10000000,10000000
C:cnot02:IY,reset,10000110,00000110,00000110
C:cnot02:IY,noreset,10000110,10000000,10000110
C:cnot02:IZ,reset,00000110,00000110,00000110
C:cnot02:IZ,noreset,00000110,00000000,00000110
C:cnot02:XI,reset,00100000,10100000,10100000
C:cnot02:XI,noreset,00100000,10000000,00100000
C:cnot02:XX,reset,10100000,10100000,10100000
C:cnot02:XX,noreset,10100000,00000000,10100000
C:cnot02:XY,reset,10100110,10100110,10100110
C:cnot02:XY,noreset,10100110,00000000,10100110
C:cnot02:XZ,reset,00100110,10100110,10100110
C:cnot02:XZ,noreset,00100110,10000000,00100110
C:cnot02:YI,reset,00100010,10100010,10100010
C:cnot02:YI,noreset,00100010,10000000,00100010
C:cnot02:YX,reset,10100010,10100010,10100010
C:cnot02:YX,noreset,10100010,00000000,10100010
C:cnot02:YY,reset,10100100,10100100,10100100
C:cnot02:YY,noreset,10100100,00000000,10100100
C:cnot02:YZ,reset,00100100,10100100,10100100
C:cnot02:YZ,noreset,00100100,10000000,00100100
C:cnot02:ZI,reset,00000010,00000010,00000010
C:cnot02:ZI,noreset,00000010,00000000,00000010
C:cnot02:ZX,reset,10000010,00000010,00000010
C:cnot02:ZX,noreset,10000010,10000000,10000010
C:cnot02:ZY,reset,10000100,00000100,00000100
C:cnot02:ZY,noreset,10000100,10000000,10000100
C:cnot02:ZZ,reset,00000100,00000100,00000100
C:cnot02:ZZ,noreset,00000100,00000000,00000100
C:cnot03:IX,reset,10000000,00000000,00000000
C:cnot03:IX,noreset,10000000,10000000,10000000
C:cnot03:IY,reset,10000000,00000000,00000000
C:cnot03:IY,noreset,10000000,10000000,10000000
C:cnot03:IZ,reset,00000000,00000000,00000000
C:cnot03:IZ,noreset,00000000,00000000,00000000
C:cnot03:XI,reset,00010000,10010000,10010000
C:cnot03:XI,noreset,00010000,10000000,00010000
C:cnot03:XX,reset,10010000,10010000,10010000
C:cnot03:XX,noreset,10010000,00000000,10010000
C:cnot03:XY,reset,10010000,10010000,10010000
C:cnot03:XY,noreset,10010000,00000000,10010000
C:cnot03:XZ,reset,00010000,10010000,10010000
C:cnot03:XZ,noreset,00010000,10000000,00010000
C:cnot03:YI,reset,00010110,10010110,10010110
C:cnot03:YI,noreset,00010110,10000000,00010110
C:cnot03:YX,reset,10010110,10010110,10010110
C:cnot03:YX,noreset,10010110,00000000,10010110
C:cnot03:YY,reset,10010110,10010110,10010110
C:cnot03:YY,noreset,10010110,00000000,10010110
C:cnot03:YZ,reset,00010110,10010110,10010110
C:cnot03:YZ,noreset,00010110,10000000,00010110
C:cnot03:ZI,reset,00000110,00000110,00000110
C:cnot03:ZI,noreset,00000110,00000000,00000110
C:cnot03:ZX,reset,10000110,00000110,00000110
C:cnot03:ZX,noreset,10000110,10000000,10000110
C:cnot03:ZY,reset,10000110,00000110,00000110
C:cnot03:ZY,noreset,10000110,10000000,10000110
C:cnot03:ZZ,reset,00000110,00000110,00000110
C:cnot03:ZZ,noreset,00000110,00000000,00000110
C:cnot04:IX,reset,01000000,00000000,00000000
C:cnot04:IX,noreset,01000000,01000000,01000000
C:cnot04:IY,reset,01000100,00000100,00000100
C:cnot04:IY,noreset,01000100,01000000,01000100
C:cnot04:IZ,reset,00000100,00000100,00000100
C:cnot04:IZ,noreset,00000100,00000000,00000100
C:cnot04:XI,reset,00000000,01000000,01000000
C:cnot04:XI,noreset,00000000,01000000,00000000
C:cnot04:XX,reset,01000000,01000000,01000000
C:cnot04:XX,noreset,01000000,00000000,01000000
C:cnot04:XY,reset,01000100,01000100,01000100
