group_id,size,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,members
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:cnot00:ZZ;C:cnot03:IZ;C:cnot04:ZZ;C:cnot05:IZ;C:cnot06:ZZ;C:cnot07:IZ;C:cnot08:ZZ;C:cnot11:IZ;C:cnot12:XX;C:cnot13:XI;C:cnot14:XX;C:cnot17:XI;C:cnot18:XX;C:cnot21:XI;C:cnot22:XX;C:cnot23:XI
1,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,A:data3:Z;A:data6:Z;C:cnot02:ZI;C:cnot06:IZ;C:cnot06:ZI;C:cnot07:ZI;C:cnot07:ZZ;C:cnot09:IZ;C:cnot10:ZZ;C:cnot18:YY;C:cnot18:ZZ;C:cnot20:ZZ
2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,A:data2:Z;A:data5:Z;C:cnot01:IZ;C:cnot02:ZZ;C:cnot04:IZ;C:cnot04:ZI;C:cnot05:ZI;C:cnot05:ZZ;C:cnot09:ZI;C:cnot15:ZZ;C:cnot17:YZ;C:cnot17:ZZ
3,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,C:cnot10:XI;C:cnot11:XI;C:cnot11:XZ;C:cnot20:XI;C:cnot21:IX;C:cnot21:XX;C:cnot22:IX;C:cnot22:XI;C:cnot23:IX;C:cnot23:XX
4,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C:cnot00:XI;C:cnot00:YZ;C:cnot01:XI;C:cnot12:IX;C:cnot12:XI;C:cnot13:IX;C:cnot13:XX;C:cnot14:IX;C:cnot14:XI;C:cnot15:XX
5,8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,A:data4:Z;C:cnot02:IZ;C:cnot03:ZI;C:cnot03:ZZ;C:cnot08:IZ;C:cnot08:ZI;C:cnot09:ZZ;C:cnot16:ZZ
6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,A:data8:Z;C:cnot10:IZ;C:cnot11:ZI;C:cnot11:ZZ;C:cnot23:YZ;C:cnot23:ZZ
7,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:cnot18:YX;C:cnot18:ZI;C:cnot19:ZI;C:cnot20:ZI;C:cnot21:YI;C:cnot21:ZI
8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:cnot14:YX;C:cnot14:ZI;C:cnot15:ZI;C:cnot16:ZI;C:cnot17:YI;C:cnot17:ZI
9,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,A:data0:Z;C:cnot00:IZ;C:cnot00:ZI;C:cnot01:ZZ;C:cnot12:YY;C:cnot12:ZZ
