group_id,size,b0,b1,b2,b3,b4,b5,b6,b7,members
0,56,0,0,0,0,0,0,0,0,C:cnot00:IX;C:cnot00:ZY;C:cnot00:ZZ;C:cnot01:IX;C:cnot02:IX;C:cnot03:IX;C:cnot03:IY;C:cnot03:IZ;C:cnot04:IX;C:cnot04:ZY;C:cnot04:ZZ;C:cnot05:IX;C:cnot05:IY;C:cnot05:IZ;C:cnot06:IX;C:cnot06:ZY;C:cnot06:ZZ;C:cnot07:IX;C:cnot07:IY;C:cnot07:IZ;C:cnot08:IX;C:cnot08:ZY;C:cnot08:ZZ;C:cnot09:IX;C:cnot10:IX;C:cnot11:IX;C:cnot11:IY;C:cnot11:IZ;C:cnot12:XX;C:cnot12:YX;C:cnot12:ZI;C:cnot13:XI;C:cnot13:YI;C:cnot13:ZI;C:cnot14:XX;C:cnot14:YX;C:cnot14:ZI;C:cnot15:ZI;C:cnot16:ZI;C:cnot17:XI;C:cnot17:YI;C:cnot17:ZI;C:cnot18:XX;C:cnot18:YX;C:cnot18:ZI;C:cnot19:ZI;C:cnot20:ZI;C:cnot21:XI;C:cnot21:YI;C:cnot21:ZI;C:cnot22:XX;C:cnot22:YX;C:cnot22:ZI;C:cnot23:XI;C:cnot23:YI;C:cnot23:ZI
1,22,0,0,0,0,0,0,1,0,A:data3:Z;A:data6:Z;C:cnot02:ZI;C:cnot02:ZX;C:cnot06:IY;C:cnot06:IZ;C:cnot06:ZI;C:cnot06:ZX;C:cnot07:ZI;C:cnot07:ZX;C:cnot07:ZY;C:cnot07:ZZ;C:cnot09:IY;C:cnot09:IZ;C:cnot10:ZY;C:cnot10:ZZ;C:cnot18:IZ;C:cnot18:XY;C:cnot18:YY;C:cnot18:ZZ;C:cnot20:IZ;C:cnot20:ZZ
2,22,0,0,0,0,0,1,0,0,A:data2:Z;A:data5:Z;C:cnot01:IY;C:cnot01:IZ;C:cnot02:ZY;C:cnot02:ZZ;C:cnot04:IY;C:cnot04:IZ;C:cnot04:ZI;C:cnot04:ZX;C:cnot05:ZI;C:cnot05:ZX;C:cnot05:ZY;C:cnot05:ZZ;C:cnot09:ZI;C:cnot09:ZX;C:cnot15:IZ;C:cnot15:ZZ;C:cnot17:IZ;C:cnot17:XZ;C:cnot17:YZ;C:cnot17:ZZ
3,22,0,0,0,1,0,0,0,0,A:data7:X;A:data8:X;C:cnot10:XI;C:cnot10:XX;C:cnot11:XI;C:cnot11:XX;C:cnot11:XY;C:cnot11:XZ;C:cnot20:XI;C:cnot20:YI;C:cnot21:IX;C:cnot21:XX;C:cnot21:YX;C:cnot21:ZX;C:cnot22:IX;C:cnot22:XI;C:cnot22:YI;C:cnot22:ZX;C:cnot23:IX;C:cnot23:XX;C:cnot23:YX;C:cnot23:ZX
4,22,1,0,0,0,0,0,0,0,A:data0:X;A:data1:X;C:cnot00:XI;C:cnot00:XX;C:cnot00:YY;C:cnot00:YZ;C:cnot01:XI;C:cnot01:XX;C:cnot12:IX;C:cnot12:XI;C:cnot12:YI;C:cnot12:ZX;C:cnot13:IX;C:cnot13:XX;C:cnot13:YX;C:cnot13:ZX;C:cnot14:IX;C:cnot14:XI;C:cnot14:YI;C:cnot14:ZX;C:cnot15:XX;C:cnot15:YX
5,17,0,0,0,0,0,1,1,0,A:data4:Z;C:cnot02:IY;C:cnot02:IZ;C:cnot03:ZI;C:cnot03:ZX;C:cnot03:ZY;C:cnot03:ZZ;C:cnot08:IY;C:cnot08:IZ;C:cnot08:ZI;C:cnot08:ZX;C:cnot09:ZY;C:cnot09:ZZ;C:cnot16:IZ;C:cnot16:ZZ;C:cnot19:IZ;C:cnot19:ZZ
6,13,0,1,0,1,0,0,0,0,A:data5:X;C:cnot05:XI;C:cnot05:XX;C:cnot05:XY;C:cnot05:XZ;C:cnot09:XI;C:cnot09:XX;C:cnot16:XI;C:cnot16:YI;C:cnot17:IX;C:cnot17:XX;C:cnot17:YX;C:cnot17:ZX
7,13,1,0,0,1,0,0,0,0,A:data4:X;C:cnot03:XI;C:cnot03:XX;C:cnot03:XY;C:cnot03:XZ;C:cnot08:XI;C:cnot08:XX;C:cnot08:YY;C:cnot08:YZ;C:cnot16:IX;C:cnot16:ZX;C:cnot19:IX;C:cnot19:ZX
8,13,1,0,0,1,0,1,1,0,A:data4:Y;C:cnot03:YI;C:cnot03:YX;C:cnot03:YY;C:cnot03:YZ;C:cnot08:XY;C:cnot08:XZ;C:cnot08:YI;C:cnot08:YX;C:cnot16:IY;C:cnot16:ZY;C:cnot19:IY;C:cnot19:ZY
9,13,1,0,1,0,0,0,0,0,A:data3:X;C:cnot02:XI;C:cnot02:XX;C:cnot06:XI;C:cnot06:XX;C:cnot06:YY;C:cnot06:YZ;C:cnot18:IX;C:cnot18:XI;C:cnot18:YI;C:cnot18:ZX;C:cnot19:XX;C:cnot19:YX
10,11,0,0,0,0,0,0,0,1,A:data8:Z;C:cnot10:IY;C:cnot10:IZ;C:cnot11:ZI;C:cnot11:ZX;C:cnot11:ZY;C:cnot11:ZZ;C:cnot23:IZ;C:cnot23:XZ;C:cnot23:YZ;C:cnot23:ZZ
11,11,0,0,0,0,0,0,1,1,A:data7:Z;C:cnot10:ZI;C:cnot10:ZX;C:cnot21:IZ;C:cnot21:XZ;C:cnot21:YZ;C:cnot21:ZZ;C:cnot22:IZ;C:cnot22:XY;C:cnot22:YY;C:cnot22:ZZ
12,11,0,0,0,0,1,0,0,0,A:data0:Z;C:cnot00:IY;C:cnot00:IZ;C:cnot00:ZI;C:cnot00:ZX;C:cnot01:ZY;C:cnot01:ZZ;C:cnot12:IZ;C:cnot12:XY;C:cnot12:YY;C:cnot12:ZZ
13,11,0,0,0,0,1,1,0,0,A:data1:Z;C:cnot01:ZI;C:cnot01:ZX;C:cnot13:IZ;C:cnot13:XZ;C:cnot13:YZ;C:cnot13:ZZ;C:cnot14:IZ;C:cnot14:XY;C:cnot14:YY;C:cnot14:ZZ
14,11,0,0,0,1,0,0,0,1,A:data8:Y;C:cnot10:XY;C:cnot10:XZ;C:cnot11:YI;C:cnot11:YX;C:cnot11:YY;C:cnot11:YZ;C:cnot23:IY;C:cnot23:XY;C:cnot23:YY;C:cnot23:ZY
15,11,0,0,0,1,0,0,1,1,A:data7:Y;C:cnot10:YI;C:cnot10:YX;C:cnot21:IY;C:cnot21:XY;C:cnot21:YY;C:cnot21:ZY;C:cnot22:IY;C:cnot22:XZ;C:cnot22:YZ;C:cnot22:ZY
16,11,0,1,0,1,0,1,0,0,A:data5:Y;C:cnot05:YI;C:cnot05:YX;C:cnot05:YY;C:cnot05:YZ;C:cnot09:YI;C:cnot09:YX;C:cnot17:IY;C:cnot17:XY;C:cnot17:YY;C:cnot17:ZY
17,11,1,0,0,0,1,0,0,0,A:data0:Y;C:cnot00:XY;C:cnot00:XZ;C:cnot00:YI;C:cnot00:YX;C:cnot01:YY;C:cnot01:YZ;C:cnot12:IY;C:cnot12:XZ;C:cnot12:YZ;C:cnot12:ZY
18,11,1,0,0,0,1,1,0,0,A:data1:Y;C:cnot01:YI;C:cnot01:YX;C:cnot13:IY;C:cnot13:XY;C:cnot13:YY;C:cnot13:ZY;C:cnot14:IY;C:cnot14:XZ;C:cnot14:YZ;C:cnot14:ZY
19,11,1,0,1,0,0,0,1,0,A:data3:Y;C:cnot02:YI;C:cnot02:YX;C:cnot06:XY;C:cnot06:XZ;C:cnot06:YI;C:cnot06:YX;C:cnot18:IY;C:cnot18:XZ;C:cnot18:YZ;C:cnot18:ZY
20,7,0,0,1,0,0,0,0,0,A:data6:X;C:cnot07:XI;C:cnot07:XX;C:cnot07:XY;C:cnot07:XZ;C:cnot20:IX;C:cnot20:ZX
21,7,0,0,1,0,0,0,1,0,A:data6:Y;C:cnot07:YI;C:cnot07:YX;C:cnot07:YY;C:cnot07:YZ;C:cnot20:IY;C:cnot20:ZY
22,7,0,1,0,0,0,0,0,0,A:data2:X;C:cnot04:XI;C:cnot04:XX;C:cnot04:YY;C:cnot04:YZ;C:cnot15:IX;C:cnot15:ZX
23,7,0,1,0,0,0,1,0,0,A:data2:Y;C:cnot04:XY;C:cnot04:XZ;C:cnot04:YI;C:cnot04:YX;C:cnot15:IY;C:cnot15:ZY
24,4,0,0,0,1,0,0,1,0,C:cnot10:YY;C:cnot10:YZ;C:cnot20:XZ;C:cnot20:YZ
25,4,0,0,1,1,0,0,0,0,C:cnot19:XI;C:cnot19:YI;C:cnot20:XX;C:cnot20:YX
26,4,0,1,0,1,0,1,1,0,C:cnot09:YY;C:cnot09:YZ;C:cnot16:XZ;C:cnot16:YZ
27,4,1,0,0,0,0,1,0,0,C:cnot01:XY;C:cnot01:XZ;C:cnot15:XY;C:cnot15:YY
28,4,1,0,1,0,0,1,1,0,C:cnot02:XY;C:cnot02:XZ;C:cnot19:XY;C:cnot19:YY
29,4,1,1,0,0,0,0,0,0,C:cnot15:XI;C:cnot15:YI;C:cnot16:XX;C:cnot16:YX
30,2,0,0,1,1,0,0,1,0,C:cnot20:XY;C:cnot20:YY
31,2,0,0,1,1,0,1,1,0,C:cnot19:XZ;C:cnot19:YZ
32,2,0,1,0,1,0,0,1,0,C:cnot09:XY;C:cnot09:XZ
33,2,1,0,1,0,0,1,0,0,C:cnot02:YY;C:cnot02:YZ
34,2,1,1,0,0,0,1,0,0,C:cnot15:XZ;C:cnot15:YZ
35,2,1,1,0,0,0,1,1,0,C:cnot16:XY;C:cnot16:YY
