model,N,true,pred,confusion_rate,in_ambiguity_group
deepsets,300,6,18,0.6,False
logreg,300,3,8,0.44,False
logreg,100,10,11,0.42,False
logreg,100,3,8,0.4,False
logreg,300,19,12,0.36,False
deepsets,100,1,0,0.36,False
deepsets,100,7,6,0.36,True
deepsets,300,18,20,0.34,True
deepsets,300,21,20,0.34,False
deepsets,300,10,11,0.32,False
logreg,100,7,6,0.3,True
logreg,100,11,23,0.3,False
deepsets,300,11,10,0.3,False
deepsets,100,10,11,0.26,False
deepsets,100,15,16,0.26,False
deepsets,100,18,20,0.26,True
deepsets,100,22,23,0.26,True
deepsets,300,18,7,0.26,False
deepsets,300,19,20,0.26,True
logreg,100,23,11,0.24,False
logreg,300,7,6,0.24,True
deepsets,300,1,0,0.24,False
deepsets,300,13,12,0.24,False
logreg,100,1,18,0.22,False
logreg,100,19,12,0.22,False
logreg,300,1,18,0.22,False
deepsets,100,0,1,0.22,False
deepsets,100,1,13,0.22,False
deepsets,100,8,11,0.22,False
deepsets,100,23,22,0.22,True
deepsets,300,8,17,0.22,False
deepsets,300,23,22,0.22,True
logreg,300,23,11,0.2,False
deepsets,300,2,19,0.2,False
deepsets,300,3,2,0.2,False
deepsets,300,7,6,0.2,True
logreg,100,1,0,0.18,False
logreg,100,5,17,0.18,False
logreg,300,19,18,0.18,True
deepsets,100,3,2,0.18,False
deepsets,100,5,4,0.18,False
deepsets,100,6,18,0.18,False
deepsets,100,11,10,0.18,False
deepsets,100,12,13,0.18,False
deepsets,100,18,21,0.18,False
deepsets,100,19,21,0.18,False
deepsets,100,22,11,0.18,False
deepsets,300,13,14,0.18,False
deepsets,300,17,16,0.18,False
logreg,100,15,20,0.16,False
logreg,100,23,22,0.16,True
logreg,300,10,11,0.16,False
deepsets,100,6,2,0.16,False
deepsets,100,14,15,0.16,True
deepsets,100,21,22,0.16,False
deepsets,300,15,16,0.16,False
logreg,300,5,4,0.14,False
logreg,300,5,17,0.14,False
logreg,300,15,20,0.14,False
deepsets,100,7,20,0.14,False
