model,N,overall_acc,best_val_acc,ambiguity_group_acc
empirical_bayes,1,0.074,-,-
empirical_bayes,3,0.072,-,-
empirical_bayes,10,0.1,-,-
empirical_bayes,30,0.146,-,-
empirical_bayes,100,0.338,-,-
empirical_bayes,300,0.338,-,-
logreg,1,0.0595,0.0846,"{'[6, 7]': 0.26190476190476186, '[14, 15, 17]': 0.015873015873015872, '[18, 19, 20]': 0.0, '[22, 23]': 0.07142857142857142}"
logreg,3,0.0853,0.0988,"{'[6, 7]': 0.19047619047619047, '[14, 15, 17]': 0.06349206349206349, '[18, 19, 20]': 0.09523809523809523, '[22, 23]': 0.07142857142857142}"
logreg,10,0.1389,0.1296,"{'[6, 7]': 0.19047619047619047, '[14, 15, 17]': 0.1111111111111111, '[18, 19, 20]': 0.047619047619047616, '[22, 23]': 0.16666666666666666}"
logreg,30,0.2103,0.205,"{'[6, 7]': 0.19047619047619047, '[14, 15, 17]': 0.07936507936507936, '[18, 19, 20]': 0.2698412698412698, '[22, 23]': 0.26190476190476186}"
logreg,100,0.4583,0.4167,"{'[6, 7]': 1.0, '[14, 15, 17]': 0.3333333333333333, '[18, 19, 20]': 0.6666666666666666, '[22, 23]': 0.5}"
logreg,300,0.4167,0.3333,"{'[6, 7]': 1.0, '[14, 15, 17]': 0.3333333333333333, '[18, 19, 20]': 0.3333333333333333, '[22, 23]': 0.5}"
mlp,1,0.0794,0.0767,"{'[6, 7]': 0.2857142857142857, '[14, 15, 17]': 0.1111111111111111, '[18, 19, 20]': 0.015873015873015872, '[22, 23]': 0.11904761904761904}"
mlp,3,0.0714,0.0946,"{'[6, 7]': 0.07142857142857142, '[14, 15, 17]': 0.015873015873015872, '[18, 19, 20]': 0.1111111111111111, '[22, 23]': 0.07142857142857142}"
mlp,10,0.127,0.1346,"{'[6, 7]': 0.16666666666666666, '[14, 15, 17]': 0.07936507936507936, '[18, 19, 20]': 0.07936507936507936, '[22, 23]': 0.23809523809523808}"
mlp,30,0.2361,0.2183,"{'[6, 7]': 0.30952380952380953, '[14, 15, 17]': 0.22222222222222224, '[18, 19, 20]': 0.20634920634920637, '[22, 23]': 0.09523809523809523}"
mlp,100,0.375,0.375,"{'[6, 7]': 1.0, '[14, 15, 17]': 0.3333333333333333, '[18, 19, 20]': 0.6666666666666666, '[22, 23]': 0.5}"
mlp,300,0.2917,0.3333,"{'[6, 7]': 0.0, '[14, 15, 17]': 0.3333333333333333, '[18, 19, 20]': 0.3333333333333333, '[22, 23]': 0.5}"
deepsets,1,0.0893,0.1058,"{'[6, 7]': 0.11904761904761904, '[14, 15, 17]': 0.1111111111111111, '[18, 19, 20]': 0.047619047619047616, '[22, 23]': 0.16666666666666666}"
deepsets,3,0.1448,0.1408,"{'[6, 7]': 0.11904761904761904, '[14, 15, 17]': 0.1111111111111111, '[18, 19, 20]': 0.07936507936507936, '[22, 23]': 0.16666666666666666}"
deepsets,10,0.2063,0.23,"{'[6, 7]': 0.21428571428571427, '[14, 15, 17]': 0.06349206349206349, '[18, 19, 20]': 0.047619047619047616, '[22, 23]': 0.14285714285714285}"
deepsets,30,0.3532,0.4138,"{'[6, 7]': 0.5238095238095238, '[14, 15, 17]': 0.15873015873015872, '[18, 19, 20]': 0.1111111111111111, '[22, 23]': 0.4285714285714286}"
deepsets,100,0.3333,0.7083,"{'[6, 7]': 0.0, '[14, 15, 17]': 0.3333333333333333, '[18, 19, 20]': 0.3333333333333333, '[22, 23]': 0.5}"
deepsets,300,0.3333,0.75,"{'[6, 7]': 0.0, '[14, 15, 17]': 0.3333333333333333, '[18, 19, 20]': 0.0, '[22, 23]': 0.5}"
