model,N,overall_acc,best_val_acc,ambiguity_group_acc
empirical_bayes,1,0.088,-,-
empirical_bayes,3,0.102,-,-
empirical_bayes,10,0.132,-,-
empirical_bayes,30,0.138,-,-
empirical_bayes,100,0.296,-,-
empirical_bayes,300,0.42,-,-
logreg,1,0.0635,0.0842,"{'[6, 7]': 0.047619047619047616, '[14, 15, 17]': 0.07936507936507936, '[18, 19, 20]': 0.12698412698412698, '[22, 23]': 0.047619047619047616}"
logreg,3,0.119,0.1221,"{'[6, 7]': 0.16666666666666666, '[14, 15, 17]': 0.1111111111111111, '[18, 19, 20]': 0.15873015873015872, '[22, 23]': 0.09523809523809523}"
logreg,10,0.1706,0.1883,"{'[6, 7]': 0.23809523809523808, '[14, 15, 17]': 0.17460317460317457, '[18, 19, 20]': 0.12698412698412698, '[22, 23]': 0.11904761904761904}"
logreg,30,0.3194,0.31,"{'[6, 7]': 0.3571428571428571, '[14, 15, 17]': 0.30158730158730157, '[18, 19, 20]': 0.3333333333333333, '[22, 23]': 0.2857142857142857}"
logreg,100,0.6429,0.575,"{'[6, 7]': 0.7857142857142857, '[14, 15, 17]': 0.746031746031746, '[18, 19, 20]': 0.5714285714285715, '[22, 23]': 0.5714285714285714}"
logreg,300,0.9385,0.9008,"{'[6, 7]': 0.9047619047619048, '[14, 15, 17]': 1.0, '[18, 19, 20]': 0.8888888888888888, '[22, 23]': 0.9285714285714286}"
mlp,1,0.0893,0.0946,"{'[6, 7]': 0.07142857142857142, '[14, 15, 17]': 0.09523809523809523, '[18, 19, 20]': 0.09523809523809523, '[22, 23]': 0.21428571428571427}"
mlp,3,0.1071,0.115,"{'[6, 7]': 0.09523809523809523, '[14, 15, 17]': 0.09523809523809523, '[18, 19, 20]': 0.06349206349206349, '[22, 23]': 0.11904761904761904}"
mlp,10,0.1706,0.155,"{'[6, 7]': 0.14285714285714285, '[14, 15, 17]': 0.15873015873015872, '[18, 19, 20]': 0.15873015873015872, '[22, 23]': 0.19047619047619047}"
mlp,30,0.2897,0.2692,"{'[6, 7]': 0.3571428571428571, '[14, 15, 17]': 0.38095238095238093, '[18, 19, 20]': 0.3333333333333333, '[22, 23]': 0.3333333333333333}"
mlp,100,0.4821,0.475,"{'[6, 7]': 0.3571428571428571, '[14, 15, 17]': 0.41269841269841273, '[18, 19, 20]': 0.49206349206349204, '[22, 23]': 0.3333333333333333}"
mlp,300,0.7361,0.7667,"{'[6, 7]': 0.19047619047619047, '[14, 15, 17]': 0.8571428571428571, '[18, 19, 20]': 0.6825396825396824, '[22, 23]': 0.9761904761904762}"
deepsets,1,0.0933,0.1013,"{'[6, 7]': 0.047619047619047616, '[14, 15, 17]': 0.1111111111111111, '[18, 19, 20]': 0.015873015873015872, '[22, 23]': 0.38095238095238093}"
deepsets,3,0.131,0.1346,"{'[6, 7]': 0.23809523809523808, '[14, 15, 17]': 0.09523809523809523, '[18, 19, 20]': 0.07936507936507936, '[22, 23]': 0.09523809523809523}"
deepsets,10,0.2242,0.2338,"{'[6, 7]': 0.16666666666666666, '[14, 15, 17]': 0.19047619047619047, '[18, 19, 20]': 0.20634920634920637, '[22, 23]': 0.16666666666666666}"
deepsets,30,0.3571,0.3679,"{'[6, 7]': 0.30952380952380953, '[14, 15, 17]': 0.31746031746031744, '[18, 19, 20]': 0.2698412698412698, '[22, 23]': 0.30952380952380953}"
deepsets,100,0.6429,0.5796,"{'[6, 7]': 0.5714285714285714, '[14, 15, 17]': 0.6507936507936508, '[18, 19, 20]': 0.5555555555555555, '[22, 23]': 0.5}"
deepsets,300,0.8115,0.8229,"{'[6, 7]': 0.4285714285714286, '[14, 15, 17]': 0.7619047619047619, '[18, 19, 20]': 0.6507936507936508, '[22, 23]': 0.8809523809523809}"
