case_id,kind,location,pauli,tick,control,target,stab_type,syndrome,weight,lit_ancillas
D0_X,data_single,"D0(1, 1)",X,,,,,01000000,1,Z1
D0_Y,data_single,"D0(1, 1)",Y,,,,,11000000,2,X0;Z1
D0_Z,data_single,"D0(1, 1)",Z,,,,,10000000,1,X0
D1_X,data_single,"D1(3, 1)",X,,,,,01000000,1,Z1
D1_Y,data_single,"D1(3, 1)",Y,,,,,11100000,3,X0;Z1;X2
D1_Z,data_single,"D1(3, 1)",Z,,,,,10100000,2,X0;X2
D2_X,data_single,"D2(5, 1)",X,,,,,00010000,1,Z3
D2_Y,data_single,"D2(5, 1)",Y,,,,,00110000,2,X2;Z3
D2_Z,data_single,"D2(5, 1)",Z,,,,,00100000,1,X2
D3_X,data_single,"D3(1, 3)",X,,,,,01001000,2,Z1;Z4
D3_Y,data_single,"D3(1, 3)",Y,,,,,01001100,3,Z1;Z4;X5
D3_Z,data_single,"D3(1, 3)",Z,,,,,00000100,1,X5
D4_X,data_single,"D4(3, 3)",X,,,,,01000010,2,Z1;Z6
D4_Y,data_single,"D4(3, 3)",Y,,,,,01100110,4,Z1;X2;X5;Z6
D4_Z,data_single,"D4(3, 3)",Z,,,,,00100100,2,X2;X5
D5_X,data_single,"D5(5, 3)",X,,,,,00010010,2,Z3;Z6
D5_Y,data_single,"D5(5, 3)",Y,,,,,00110010,3,X2;Z3;Z6
D5_Z,data_single,"D5(5, 3)",Z,,,,,00100000,1,X2
D6_X,data_single,"D6(1, 5)",X,,,,,00001000,1,Z4
D6_Y,data_single,"D6(1, 5)",Y,,,,,00001100,2,Z4;X5
D6_Z,data_single,"D6(1, 5)",Z,,,,,00000100,1,X5
D7_X,data_single,"D7(3, 5)",X,,,,,00000010,1,Z6
D7_Y,data_single,"D7(3, 5)",Y,,,,,00000111,3,X5;Z6;X7
D7_Z,data_single,"D7(3, 5)",Z,,,,,00000101,2,X5;X7
D8_X,data_single,"D8(5, 5)",X,,,,,00000010,1,Z6
D8_Y,data_single,"D8(5, 5)",Y,,,,,00000011,2,Z6;X7
D8_Z,data_single,"D8(5, 5)",Z,,,,,00000001,1,X7
C0_IX,cnot_two,C0,IX,0,"(3, 3)","(2, 2)",Z,01000000,1,Z1
C0_IY,cnot_two,C0,IY,0,"(3, 3)","(2, 2)",Z,01100100,3,Z1;X2;X5
C0_IZ,cnot_two,C0,IZ,0,"(3, 3)","(2, 2)",Z,00100100,2,X2;X5
C0_XI,cnot_two,C0,XI,0,"(3, 3)","(2, 2)",Z,00000010,1,Z6
C0_XX,cnot_two,C0,XX,0,"(3, 3)","(2, 2)",Z,01000010,2,Z1;Z6
