sample_id,mode,n_rounds,shots,mid_measure,reset_after_measure,return_probs,control,target,error_rounds,occurrence_vector,error_types,error_wires,fault_schedule_json,dataset_type,stab_type,stab_index,syndrome_bits,detection_bits,final_bits,probabilities,raw_output_json,cnot_index
0,mid_measure_reset,4,1,True,True,False,13,0,,"0,0,0,0","X,Z","13,0",[],all_cnot_round_patterns,X,0,00000000000000000000000000000000,000000000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",12
1,mid_measure_reset,4,1,True,True,False,13,0,0,"1,0,0,0","X,Z","13,0","[{""round"": 0, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,00000000100010001000100010001000,100010000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0]]], ""detection_events"": [[[1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",12
2,mid_measure_reset,4,1,True,True,False,13,0,1,"0,1,0,0","X,Z","13,0","[{""round"": 1, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,00000000000000001000100010001000,000000001000100000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",12
3,mid_measure_reset,4,1,True,True,False,13,0,2,"0,0,1,0","X,Z","13,0","[{""round"": 2, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,00000000000000000000000010001000,000000000000000010001000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0]]]}",12
4,mid_measure_reset,4,1,True,True,False,13,0,3,"0,0,0,1","X,Z","13,0","[{""round"": 3, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,00000000000000000000000000000000,000000000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",12
5,mid_measure_reset,4,1,True,True,False,13,0,"0,1","1,1,0,0","X,Z","13,0","[{""round"": 0, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,00000000100010000000000000000000,100010001000100000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[1, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",12
6,mid_measure_reset,4,1,True,True,False,13,0,"0,2","1,0,1,0","X,Z","13,0","[{""round"": 0, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,00000000100010001000100000000000,100010000000000010001000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0]]]}",12
7,mid_measure_reset,4,1,True,True,False,13,0,"0,3","1,0,0,1","X,Z","13,0","[{""round"": 0, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,00000000100010001000100010001000,100010000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0]]], ""detection_events"": [[[1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",12
8,mid_measure_reset,4,1,True,True,False,13,0,"1,2","0,1,1,0","X,Z","13,0","[{""round"": 1, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,00000000000000001000100000000000,000000001000100010001000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0]]]}",12
9,mid_measure_reset,4,1,True,True,False,13,0,"1,3","0,1,0,1","X,Z","13,0","[{""round"": 1, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,00000000000000001000100010001000,000000001000100000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",12
