sample_id,mode,n_rounds,shots,mid_measure,reset_after_measure,return_probs,control,target,error_rounds,occurrence_vector,error_types,error_wires,fault_schedule_json,dataset_type,stab_type,stab_index,syndrome_bits,detection_bits,final_bits,probabilities,raw_output_json,cnot_index
0,no_mid_measure_final_sample,4,1,False,False,False,13,0,,"0,0,0,0","X,Z","13,0",[],all_cnot_round_patterns,X,0,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",12
1,no_mid_measure_final_sample,4,1,False,False,False,13,0,0,"1,0,0,0","X,Z","13,0","[{""round"": 0, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,,,10001000,,"{""final_bits"": [[1, 0, 0, 0, 1, 0, 0, 0]]}",12
2,no_mid_measure_final_sample,4,1,False,False,False,13,0,1,"0,1,0,0","X,Z","13,0","[{""round"": 1, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",12
3,no_mid_measure_final_sample,4,1,False,False,False,13,0,2,"0,0,1,0","X,Z","13,0","[{""round"": 2, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,,,10001000,,"{""final_bits"": [[1, 0, 0, 0, 1, 0, 0, 0]]}",12
4,no_mid_measure_final_sample,4,1,False,False,False,13,0,3,"0,0,0,1","X,Z","13,0","[{""round"": 3, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",12
5,no_mid_measure_final_sample,4,1,False,False,False,13,0,"0,1","1,1,0,0","X,Z","13,0","[{""round"": 0, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,,,10001000,,"{""final_bits"": [[1, 0, 0, 0, 1, 0, 0, 0]]}",12
6,no_mid_measure_final_sample,4,1,False,False,False,13,0,"0,2","1,0,1,0","X,Z","13,0","[{""round"": 0, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",12
7,no_mid_measure_final_sample,4,1,False,False,False,13,0,"0,3","1,0,0,1","X,Z","13,0","[{""round"": 0, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,,,10001000,,"{""final_bits"": [[1, 0, 0, 0, 1, 0, 0, 0]]}",12
8,no_mid_measure_final_sample,4,1,False,False,False,13,0,"1,2","0,1,1,0","X,Z","13,0","[{""round"": 1, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,,,10001000,,"{""final_bits"": [[1, 0, 0, 0, 1, 0, 0, 0]]}",12
9,no_mid_measure_final_sample,4,1,False,False,False,13,0,"1,3","0,1,0,1","X,Z","13,0","[{""round"": 1, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 13, ""target"": 0, ""error_wires"": [13, 0], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,0,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",12
